"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",Model,J,Rule
6.612068118859976,2.0021574702290326,45.92484667302788,1016.0769234730415,4293.313529563311,0.0,DP,1000,PoE
19.472225358473363,12.73550574800054,20.373598613702807,756.2400714684148,3732.6048334127454,0.0,DP,2500,PoE
40.05685903269622,28.772671472479264,95.33054927506313,371.4859299298419,2969.028334346556,0.0,DP,5000,PoE
76.7136135191189,61.87179786220219,377.23104179404766,892.2531354692094,1263.5333091480084,0.0,DP,10000,PoE
0.9751190234650414,4.132755055447033,67.07203323321457,1148.8512392390444,4577.310377886684,0.0,NGG,1000,PoE
7.379249149782242,2.680034642375196,40.546906606278995,993.6930079993141,4246.780858183639,0.0,NGG,2500,PoE
41.50403573285582,29.98624408845213,100.41857642486241,354.85416491110027,2914.3259804533413,0.0,NGG,5000,PoE
71.50771604335473,57.48736497534091,348.2125292812567,788.0438283544265,1238.0527420077713,0.0,NGG,10000,PoE
6.289799672304655,1.7347432525976763,46.83889440378228,1021.8276218121164,4305.4982876484355,0.0,DP,1000,MIN
17.821061822215015,11.360158013889965,19.215833233567057,788.3335605632645,3801.7809114813053,0.0,DP,2500,MIN
36.22627120317193,25.6513575852398,80.48124376069192,423.00504968601183,3109.1753457337113,0.0,DP,5000,MIN
76.71361351912063,61.87179786219918,377.2310417940001,892.2531354692057,1263.533309147847,0.0,DP,10000,MIN
8.440261752756694,3.5172339221407425,40.708529115293366,983.6374162818549,4224.980822402369,0.0,NGG,1000,MIN
21.293998693780104,14.247927362611414,21.615572639014495,722.4529194815342,3660.977668020344,0.0,NGG,2500,MIN
43.285508986121094,31.304772627383418,105.73991263854161,338.57553607715,2823.9196010921028,0.0,NGG,5000,MIN
71.50771604335468,57.487364975341,348.2125292812563,788.043828354414,1238.0527420077644,0.0,NGG,10000,MIN
1412.0471380471383,1167.5406250000003,3814.491071428572,24434.356600756295,50442.99999999999,0.0,CMS,1000,CMS
541.8232323232324,447.22812499999986,1905.294642857143,9688.610489058448,19754.600000000002,0.0,CMS,2500,CMS
301.14983164983204,239.24062499999994,1146.8660714285716,5436.805908177793,6908.599999999999,0.0,CMS,5000,CMS
199.23737373737495,165.05624999999998,1060.2321428571427,3714.913521423641,7384.800000000001,0.0,CMS,10000,CMS
114.47474747474854,25.590625000000003,39.91964285714287,86.85937446822926,134.60000000000002,0.0,D-CMS,1000,D-CMS
89.84343434343519,21.55000000000002,61.41964285714286,70.01701664227906,80.6,0.0,D-CMS,2500,D-CMS
91.3905723905732,24.503125000000015,43.23214285714286,73.73906680734206,99.2,0.0,D-CMS,5000,D-CMS
689.3047138047173,170.57187500000012,259.90178571428567,478.8468502195156,478.8,0.0,D-CMS,10000,D-CMS
