10,100,1000,10000,Model,Params
1545.586486773195,1428.3606429175568,1200.8252622431241,1180.860843151501,DP,"[100.0, 0.25]"
1039.2476103289641,549.2367680222046,191.4490834429787,794.3862283071348,NGG,"[100.0, 0.25]"
23534.1173373298,22721.863718966393,19877.1432892371,12422.576888407268,DP,"[100.0, 0.75]"
16987.837483085164,17156.786148222982,17272.73469742598,15021.071871375887,NGG,"[100.0, 0.75]"
1442.9009465672034,1460.7963966955479,1208.9529234186743,1193.6728173954307,DP,"[100.0, 0.25]"
706.5643870833451,692.2422081502027,565.6113570016514,661.0163125914646,NGG,"[100.0, 0.25]"
22395.94603601549,22110.229878980044,19230.79070492585,11979.326080615358,DP,"[100.0, 0.75]"
15653.364737264455,17250.679063150048,16191.775625593837,13926.456221438839,NGG,"[100.0, 0.75]"
1437.3314349886077,1566.5063178069474,1265.200830473345,1219.1233908699107,DP,"[100.0, 0.25]"
668.7758345781504,769.7204312952017,626.4743627017183,43.30936643977907,NGG,"[100.0, 0.25]"
21965.45829790873,21512.660115105322,18850.871483126422,11758.929684245953,DP,"[100.0, 0.75]"
15870.159549702166,16121.656528293948,15639.532787581396,13852.633121596202,NGG,"[100.0, 0.75]"
1569.3387276286433,1617.2632876934515,1277.7506169413532,1248.930599572341,DP,"[100.0, 0.25]"
393.41963539641165,236.67494847035277,155.64088220360645,173.94605368069142,NGG,"[100.0, 0.25]"
21754.31897048966,22040.694331133025,19294.25248291967,12009.645843858327,DP,"[100.0, 0.75]"
16599.158171447143,17060.795303997966,16765.780590533184,14218.719329902575,NGG,"[100.0, 0.75]"
1692.8661911428615,1568.663577221868,1270.9336728676562,1231.2217814068972,DP,"[100.0, 0.25]"
396.84010646965544,543.3089046073587,28.04226941806519,196.40975745379728,NGG,"[100.0, 0.25]"
23555.031688923642,22879.70478071862,19984.492114160304,12396.69955501267,DP,"[100.0, 0.75]"
17088.350953337816,17210.909444590063,17128.39370366226,14453.227839428177,NGG,"[100.0, 0.75]"
1478.535766894256,1473.8191082759822,1232.8556776546259,1206.8411790491418,DP,"[100.0, 0.25]"
1071.054467372433,1095.6892891435095,300.8150617924998,432.8276346720918,NGG,"[100.0, 0.25]"
23677.49578900608,23227.877244709456,20194.901917755535,12555.089933789097,DP,"[100.0, 0.75]"
17217.879245860277,17756.049442028485,17623.697386672884,14759.118121952954,NGG,"[100.0, 0.75]"
1494.3975670726509,1373.9038715423728,1194.3138147628333,1153.3627613568742,DP,"[100.0, 0.25]"
702.9568128332403,276.69869274143184,731.0375817508188,302.28654195713943,NGG,"[100.0, 0.25]"
22486.679630437546,22628.76914409619,19884.27349634589,12496.393541599295,DP,"[100.0, 0.75]"
16546.526998651218,16519.434350550204,17107.194804773135,14646.233541288062,NGG,"[100.0, 0.75]"
1597.9678878121122,1486.6439210065967,1248.9052149695906,1211.345685670019,DP,"[100.0, 0.25]"
489.2208592637776,475.7034675570003,1103.845833982718,816.0957794233482,NGG,"[100.0, 0.25]"
23301.254414208142,22989.051379475615,20081.56230797642,12518.719758093841,DP,"[100.0, 0.75]"
17292.11184433233,17752.970220224084,16770.294550186747,14367.868789745995,NGG,"[100.0, 0.75]"
1494.9583447659977,1439.1286071696704,1209.7847820172876,1178.653542528802,DP,"[100.0, 0.25]"
601.5011562583918,540.4419399908184,591.1191161128968,357.2988650271441,NGG,"[100.0, 0.25]"
21511.580678334776,21069.854607366273,18377.524165902214,11408.90161380478,DP,"[100.0, 0.75]"
15808.225866417844,15933.979356672082,16131.158620550512,13582.32735093617,NGG,"[100.0, 0.75]"
1695.6595994511467,1542.3811058644026,1286.0008659486807,1225.4930610066622,DP,"[100.0, 0.25]"
727.37541571671,388.0027118728549,438.6139834149503,246.00316330888018,NGG,"[100.0, 0.25]"
20484.928301977227,22439.466788855516,19649.8273970596,12280.791667340238,DP,"[100.0, 0.75]"
16230.363368270666,16288.058964931368,16844.84030570757,14195.856690013221,NGG,"[100.0, 0.75]"
